USER_INPUT | CORRECTED_QUERY | SQL_QUERY | QUERY_TYPE | ACTION_TYPE | DISPLAY_ENTITIES | FILTER_ENTITIES
================================================================================================================
What is the effective date for contarct 123456? | what is the effective date for contract 123456? | SELECT      EFFECTIVE_DATE    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 123456 | CONTRACTS | contracts_by_contractnumber | EFFECTIVE_DATE | AWARD_NUMBER = 123456
Show me contract detials for 789012 | show me contract details for 789012 | SELECT      CONTRACT_NAME, CUSTOMER_NAME, EFFECTIVE_DATE, EXPIRATION_DATE, STATUS, PAYMENT_TERMS, INCOTERMS    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 789012 | CONTRACTS | contracts_by_contractnumber | CONTRACT_NAME, CUSTOMER_NAME, EFFECTIVE_DATE, EXPIRATION_DATE, STATUS, PAYMENT_TERMS, INCOTERMS | AWARD_NUMBER = 789012
When does contrat 456789 expire? | when does contract 456789 expire? | SELECT      EXPIRATION_DATE    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 456789 AND STATUS = 'EXPIRED' | CONTRACTS | contracts_by_contractnumber | EXPIRATION_DATE | AWARD_NUMBER = 456789, STATUS = EXPIRED
What's the experation date for 234567? | what's the expiration date for 234567? | SELECT      EXPIRATION_DATE    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 234567 | CONTRACTS | contracts_by_contractnumber | EXPIRATION_DATE | AWARD_NUMBER = 234567
Get contarct informaton for 345678 | get contract information for 345678 | SELECT      CONTRACT_NAME, CUSTOMER_NAME, EFFECTIVE_DATE, EXPIRATION_DATE, STATUS, PAYMENT_TERMS, INCOTERMS    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 345678 | CONTRACTS | contracts_by_contractnumber | CONTRACT_NAME, CUSTOMER_NAME, EFFECTIVE_DATE, EXPIRATION_DATE, STATUS, PAYMENT_TERMS, INCOTERMS | AWARD_NUMBER = 345678
Whats the efective date for 567890? | whats the effective date for 567890? | SELECT      EFFECTIVE_DATE    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 567890 | CONTRACTS | contracts_by_contractnumber | EFFECTIVE_DATE | AWARD_NUMBER = 567890
Show contarct 678901 details | show contract 678901 details | SELECT      CONTRACT_NAME, CUSTOMER_NAME, EFFECTIVE_DATE, EXPIRATION_DATE, STATUS, PAYMENT_TERMS, INCOTERMS    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 678901 | CONTRACTS | contracts_by_contractnumber | CONTRACT_NAME, CUSTOMER_NAME, EFFECTIVE_DATE, EXPIRATION_DATE, STATUS, PAYMENT_TERMS, INCOTERMS | AWARD_NUMBER = 678901
What is efective date of 789012? | what is effective date of 789012? | SELECT      EFFECTIVE_DATE    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 789012 | CONTRACTS | contracts_by_contractnumber | EFFECTIVE_DATE | AWARD_NUMBER = 789012
Get contract info for 890123 | Get contract info for 890123 | SELECT      CONTRACT_NAME, CUSTOMER_NAME, EFFECTIVE_DATE, EXPIRATION_DATE, STATUS, PAYMENT_TERMS, INCOTERMS    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 890123 | CONTRACTS | contracts_by_contractnumber | CONTRACT_NAME, CUSTOMER_NAME, EFFECTIVE_DATE, EXPIRATION_DATE, STATUS, PAYMENT_TERMS, INCOTERMS | AWARD_NUMBER = 890123
Show me contarct 123456 | show me contract 123456 | SELECT      CONTRACT_NAME    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 123456 | CONTRACTS | contracts_by_contractnumber | CONTRACT_NAME | AWARD_NUMBER = 123456
effective date for 123456 | effective date for 123456 | SELECT      EFFECTIVE_DATE    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 123456 | CONTRACTS | contracts_by_contractnumber | EFFECTIVE_DATE | AWARD_NUMBER = 123456
show 789012 details | show 789012 details | SELECT      AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 789012 | CONTRACTS | contracts_by_contractnumber | AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS | AWARD_NUMBER = 789012
when does 456789 end | when does 456789 end | SELECT      AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 456789 | CONTRACTS | contracts_by_contractnumber | AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS | AWARD_NUMBER = 456789
234567 expiration | 234567 expiration | SELECT      AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 234567 | CONTRACTS | contracts_by_contractnumber | AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS | AWARD_NUMBER = 234567
345678 info | 345678 info | SELECT      AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 345678 | CONTRACTS | contracts_by_contractnumber | AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS | AWARD_NUMBER = 345678
567890 effective date | 567890 effective date | SELECT      EFFECTIVE_DATE    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 567890 | CONTRACTS | contracts_by_contractnumber | EFFECTIVE_DATE | AWARD_NUMBER = 567890
678901 contract details | 678901 contract details | SELECT      CONTRACT_NAME, CUSTOMER_NAME, EFFECTIVE_DATE, EXPIRATION_DATE, STATUS, PAYMENT_TERMS, INCOTERMS    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 678901 | CONTRACTS | contracts_by_contractnumber | CONTRACT_NAME, CUSTOMER_NAME, EFFECTIVE_DATE, EXPIRATION_DATE, STATUS, PAYMENT_TERMS, INCOTERMS | AWARD_NUMBER = 678901
789012 expiry date | 789012 expiry date | SELECT      EXPIRATION_DATE    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 789012 | CONTRACTS | contracts_by_contractnumber | EXPIRATION_DATE | AWARD_NUMBER = 789012
890123 start date | 890123 start date | SELECT      EFFECTIVE_DATE    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 890123 | CONTRACTS | contracts_by_contractnumber | EFFECTIVE_DATE | AWARD_NUMBER = 890123
123456 begin date | 123456 begin date | SELECT      EFFECTIVE_DATE    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 123456 | CONTRACTS | contracts_by_contractnumber | EFFECTIVE_DATE | AWARD_NUMBER = 123456
whos the customer for contarct 123456? | whos the customer for contract 123456? | SELECT      CUSTOMER_NAME    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 123456 | CONTRACTS | contracts_by_contractnumber | CUSTOMER_NAME | AWARD_NUMBER = 123456
customer name for 234567 | customer name for 234567 | SELECT      CUSTOMER_NAME    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 234567 | CONTRACTS | contracts_by_contractnumber | CUSTOMER_NAME | AWARD_NUMBER = 234567
what customer for contrat 345678? | what customer for contract 345678? | SELECT      CUSTOMER_NAME    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 345678 | CONTRACTS | contracts_by_contractnumber | CUSTOMER_NAME | AWARD_NUMBER = 345678
show custmer for 456789 | show customer for 456789 | SELECT      CUSTOMER_NAME    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 456789 | CONTRACTS | contracts_by_contractnumber | CUSTOMER_NAME | AWARD_NUMBER = 456789
